,Symbol,Count Week,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Week 1,Week Full
0,RDP,1.0,11.55,14.7,11.55,14.7,13.11,1.22,"425,040.00","360,080.36",27.27,27.27
1,SDA,1.0,28.4,36.0,28.4,36.0,32.36,3.02,"685,223.80","55,728.58",26.76,26.76
2,AAM,1.0,14.15,17.9,14.15,17.9,15.84,1.52,"144,940.00","25,150.21",26.5,26.5
3,KVC,1.0,7.2,9.0,7.2,9.0,7.98,0.81,"3,909,849.60","2,839,926.52",25.0,25.0
4,PSB,1.0,10.6,12.9,10.6,12.9,11.96,1.11,"142,134.40","92,616.31",21.7,21.7
5,ITQ,1.0,9.4,11.4,9.1,11.4,10.18,1.0,"2,254,280.40","1,445,371.22",21.28,21.28
6,PCT,1.0,11.2,13.4,11.2,14.8,13.04,1.36,"215,669.60","169,653.72",19.64,19.64
7,PGT,1.0,10.3,12.3,10.2,12.3,10.84,0.92,"110,341.80","135,812.64",19.42,19.42
8,DXV,1.0,7.65,8.9,7.65,9.36,8.57,0.66,"206,840.00","107,641.48",16.34,16.34
9,TNT,1.0,16.9,19.45,16.9,19.5,18.64,1.14,"730,080.00","284,549.20",15.09,15.09
10,PDV,1.0,12.0,13.8,12.0,14.3,13.36,0.97,"114,646.80","95,449.64",15.0,15.0
11,FCM,1.0,10.75,12.3,10.75,12.3,11.67,0.65,"2,571,760.00","493,242.13",14.42,14.42
12,PIT,1.0,11.1,12.7,11.1,13.5,12.36,0.91,"200,720.00","193,347.50",14.41,14.41
13,KCB,1.0,10.5,12.0,10.5,13.2,12.06,1.07,"111,425.60","53,263.00",14.29,14.29
14,SCJ,1.0,12.2,13.9,11.7,13.9,12.42,0.89,"286,563.20","419,865.31",13.93,13.93
15,TGG,1.0,24.9,28.3,24.9,30.4,27.73,2.08,"2,081,120.00","1,325,130.10",13.65,13.65
16,BCA,1.0,11.0,12.5,10.6,12.5,11.32,0.78,"319,035.00","115,094.45",13.64,13.64
17,TDN,1.0,19.2,21.6,19.2,24.0,21.82,1.88,"1,139,026.00","657,800.97",12.5,12.5
18,SKG,1.0,20.1,22.6,20.1,22.6,21.02,1.06,"1,308,620.00","868,025.77",12.44,12.44
19,BFC,1.0,37.55,41.9,36.5,41.9,38.86,2.05,"1,318,860.00","436,965.19",11.58,11.58
20,CET,1.0,7.8,8.7,7.8,9.3,8.72,0.63,"103,004.40","64,495.52",11.54,11.54
21,DAG,1.0,13.05,14.45,12.7,14.45,13.31,0.72,"1,196,200.00","364,660.58",10.73,10.73
22,DAH,1.0,12.9,14.2,12.9,14.2,13.71,0.52,"3,041,280.00","948,641.67",10.08,10.08
23,VTD,1.0,23.5,25.8,23.5,25.8,24.68,1.0,"427,355.60","102,928.92",9.79,9.79
24,PC1,1.0,40.35,44.3,40.35,46.5,43.74,2.44,"5,601,800.00","1,284,049.92",9.79,9.79
25,ACC,1.0,23.6,25.9,23.3,26.1,24.76,1.28,"390,460.00","225,121.88",9.75,9.75
26,VHE,1.0,9.3,10.2,9.1,10.2,9.4,0.46,"888,957.00","816,214.71",9.68,9.68
