,Symbol,Count Year,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Year 1,Year Full
0,VNA,1.0,6.4,51.3,5.7,51.3,27.05,13.5,"364,947.64","290,874.91",701.56,701.56
1,VOS,1.0,4.13,22.85,3.69,25.3,14.42,7.24,"2,708,945.42","2,159,623.05",453.27,453.27
2,CEO,1.0,12.1,64.0,7.7,92.5,28.61,25.64,"5,574,402.17","3,372,273.92",428.93,428.93
3,HUT,1.0,6.6,34.9,5.8,51.3,14.59,9.89,"4,204,542.45","2,862,800.71",428.79,428.79
4,FRT,1.0,30.45,150.1,24.3,156.0,58.86,34.99,"1,717,270.52","1,022,151.40",392.94,392.94
5,GKM,1.0,11.29,52.6,9.59,55.0,27.39,16.59,"441,933.52","239,863.57",365.69,365.69
6,PVL,1.0,2.9,12.1,2.9,22.3,8.49,5.62,"1,683,594.86","1,305,669.13",317.24,317.24
7,HAH,1.0,24.08,96.8,22.29,103.0,56.52,21.85,"1,537,039.84","808,246.01",301.93,301.93
8,IDI,1.0,6.8,27.2,5.41,27.4,10.8,5.66,"3,381,659.76","3,087,046.20",300.0,300.0
9,DIG,1.0,23.59,92.5,22.0,119.8,51.09,29.06,"7,057,139.84","4,090,092.38",292.12,292.12
10,DGC,1.0,58.33,228.0,58.33,234.9,125.18,44.55,"1,322,176.89","857,771.59",290.87,290.87
11,VHG,1.0,2.4,9.3,2.2,14.1,5.38,3.06,"5,223,972.65","3,914,251.13",287.5,287.5
12,VPG,1.0,17.22,63.3,17.01,63.8,42.31,14.51,"616,409.56","313,151.40",267.66,267.66
13,FTS,1.0,15.32,55.0,15.28,74.6,47.39,16.96,"679,764.14","374,208.94",258.91,258.91
14,DPM,1.0,18.79,66.9,17.23,73.9,36.7,14.95,"4,867,538.25","3,195,434.48",256.04,256.04
15,LCM,1.0,1.87,6.62,1.87,11.95,4.38,2.37,"328,631.08","382,214.09",254.01,254.01
16,AAS,1.0,8.8,30.3,8.4,32.7,19.82,8.0,"1,371,587.43","1,208,792.06",244.32,244.32
17,VC3,1.0,15.51,53.3,15.32,63.5,35.17,16.5,"237,106.69","204,077.86",243.72,243.72
18,DPG,1.0,23.0,79.0,23.0,96.0,53.33,23.04,"963,756.57","512,912.55",243.49,243.49
19,APS,1.0,9.03,30.3,9.03,59.9,24.08,12.8,"2,277,729.70","1,355,719.30",235.51,235.51
20,IDJ,1.0,9.37,31.4,8.14,47.99,21.23,11.56,"1,171,235.79","754,825.11",235.26,235.26
21,C4G,1.0,7.66,25.3,5.58,25.8,11.9,6.23,"2,469,941.35","1,880,719.03",230.42,230.42
22,VPH,1.0,5.29,16.75,4.48,19.35,8.97,4.44,"919,866.14","1,006,233.31",216.81,216.81
23,TIG,1.0,8.21,25.3,8.21,27.5,16.1,5.08,"1,134,311.04","829,571.43",208.01,208.01
24,NVB,1.0,12.16,36.7,12.16,36.9,22.3,6.47,"2,579,082.35","3,382,689.46",201.81,201.81
25,MCG,1.0,3.27,9.82,2.86,14.55,5.99,3.18,"603,061.35","875,172.72",200.31,200.31
26,HDC,1.0,34.48,103.0,30.56,115.0,72.57,25.25,"799,869.32","407,642.22",198.72,198.72
27,PVC,1.0,10.09,29.5,7.95,34.4,13.5,5.62,"1,592,008.54","1,130,485.23",192.51,192.51
28,PFL,1.0,3.8,11.1,2.7,17.1,6.71,3.8,"736,455.02","750,780.06",192.11,192.11
29,ADS,1.0,12.68,36.95,10.36,39.1,26.53,8.07,"469,117.53","350,574.12",191.47,191.47
30,APG,1.0,5.53,15.85,5.24,20.7,12.52,5.41,"2,265,519.52","1,583,271.26",186.72,186.72
31,PET,1.0,21.98,62.9,18.86,66.0,30.47,10.71,"2,181,288.05","1,273,666.59",186.12,186.12
32,NBC,1.0,7.17,19.8,6.4,28.4,16.05,6.05,"568,179.17","422,974.25",176.27,176.27
33,HQC,1.0,3.17,8.7,3.0,10.5,5.3,2.12,"18,027,955.78","10,792,557.41",174.45,174.45
34,TNT,1.0,6.12,16.7,6.12,20.2,12.33,4.58,"462,674.90","401,264.67",172.88,172.88
35,TCD,1.0,8.8,24.0,6.74,27.95,16.62,7.5,"733,754.98","831,001.34",172.6,172.6
36,OGC,1.0,7.16,19.3,5.0,19.4,7.97,2.83,"1,582,737.45","1,555,313.21",169.55,169.55
37,EVS,1.0,14.3,37.0,14.3,43.3,32.86,8.03,"345,822.37","215,405.41",158.74,158.74
38,TNH,1.0,22.24,57.4,19.68,57.9,34.95,11.47,"677,504.38","548,114.89",158.09,158.09
39,TSC,1.0,6.47,16.7,6.45,20.77,12.32,3.31,"4,670,174.50","3,411,814.54",158.03,158.03
40,DCM,1.0,16.71,42.95,14.85,48.45,27.35,9.15,"5,637,037.45","3,111,539.20",156.99,156.99
41,VHC,1.0,37.64,94.8,34.68,96.5,53.91,15.11,"1,431,984.06","915,943.61",151.85,151.85
42,VDS,1.0,14.43,35.5,13.05,42.7,29.29,8.35,"941,444.62","576,853.72",146.05,146.05
43,DGW,1.0,58.6,142.0,52.79,148.0,96.25,27.47,"504,978.09","333,650.50",142.32,142.32
44,KHP,1.0,6.83,16.55,5.98,24.58,10.88,5.44,"459,856.57","676,444.59",142.21,142.21
45,SJS,1.0,39.5,95.5,39.5,95.5,66.91,13.41,"124,662.15","113,875.49",141.77,141.77
46,SCR,1.0,8.61,20.7,7.75,26.2,14.62,5.26,"10,425,605.18","5,072,181.22",140.42,140.42
47,BCG,1.0,11.03,26.4,8.84,28.35,16.96,6.39,"4,153,575.30","3,218,672.64",139.26,139.26
48,NKG,1.0,19.92,47.15,19.75,55.9,36.51,9.84,"6,921,915.14","3,607,888.80",136.74,136.74
49,ITA,1.0,6.89,16.3,5.69,18.55,10.38,4.2,"14,593,301.59","8,693,981.41",136.57,136.57
50,VIG,1.0,5.7,13.4,3.7,18.9,9.67,4.51,"1,769,855.22","1,384,653.29",135.09,135.09
51,JVC,1.0,5.17,12.0,3.42,13.45,6.94,2.59,"3,364,795.22","3,153,310.70",132.11,132.11
52,HAX,1.0,16.31,37.2,16.31,39.5,25.37,5.48,"838,474.10","493,277.59",128.11,128.11
53,CKG,1.0,14.04,31.85,13.99,41.2,24.5,8.01,"2,508,194.02","1,893,478.05",126.93,126.93
54,HTN,1.0,24.67,55.9,18.11,58.2,31.81,11.57,"310,694.02","228,544.79",126.62,126.62
55,HID,1.0,4.62,10.35,4.12,15.0,7.97,2.92,"1,178,091.24","848,495.98",124.03,124.03
56,DXG,1.0,20.87,46.6,17.48,46.75,26.53,8.35,"9,399,677.69","5,451,794.01",123.3,123.3
57,GEX,1.0,17.41,38.75,17.41,49.35,28.3,9.54,"10,795,731.08","7,177,148.24",122.55,122.55
58,CTS,1.0,15.32,33.65,13.38,46.2,27.45,8.84,"1,477,324.70","909,508.56",119.59,119.59
59,IDC,1.0,36.65,80.1,29.24,95.0,54.29,19.57,"3,390,739.86","1,977,405.07",118.58,118.58
60,KSQ,1.0,3.3,7.2,3.0,10.5,5.99,2.18,"448,986.33","412,230.14",118.18,118.18
61,KVC,1.0,3.4,7.4,2.9,9.0,5.34,1.88,"1,385,827.36","1,193,520.76",117.65,117.65
62,CRE,1.0,18.15,39.5,16.84,43.5,30.5,6.33,"1,348,527.09","670,415.11",117.59,117.59
63,DDV,1.0,13.4,28.7,10.5,38.6,21.59,7.75,"2,092,332.09","1,773,805.45",114.18,114.18
64,PTL,1.0,6.1,13.05,4.33,18.9,9.43,3.88,"593,856.18","1,074,452.78",113.93,113.93
65,DRI,1.0,8.61,18.4,8.61,21.5,13.32,3.28,"962,940.88","677,103.94",113.8,113.8
66,SDD,1.0,3.7,7.9,2.7,9.6,5.41,2.07,"571,232.73","664,814.16",113.51,113.51
67,VCR,1.0,23.1,49.2,18.6,54.6,32.84,11.15,"242,654.96","233,065.11",112.99,112.99
68,ASM,1.0,11.65,24.8,8.77,24.9,13.73,3.44,"4,077,209.16","2,589,923.43",112.82,112.82
69,CSV,1.0,29.59,62.5,25.73,69.6,41.13,11.86,"594,035.86","508,954.50",111.25,111.25
70,C47,1.0,11.0,23.0,8.87,26.3,15.28,5.56,"327,404.38","256,804.61",109.09,109.09
71,BNA,1.0,22.03,45.9,20.22,48.0,35.73,8.3,"242,982.24","220,668.27",108.33,108.33
72,MBS,1.0,16.54,33.9,16.54,45.8,32.38,6.82,"2,142,068.36","1,285,358.23",104.97,104.97
73,MBG,1.0,7.12,14.6,5.44,17.7,10.59,3.74,"1,998,191.89","1,351,696.95",104.97,104.97
74,ASP,1.0,7.04,14.4,6.36,17.4,10.57,3.48,"355,793.63","372,566.42",104.46,104.46
75,SZC,1.0,37.74,76.5,31.52,83.4,52.75,15.44,"1,180,305.98","615,397.33",102.72,102.72
76,SGP,1.0,19.7,39.9,16.5,42.4,31.05,7.68,"419,428.78","346,939.57",102.54,102.54
77,PC1,1.0,23.33,47.15,19.92,48.95,30.63,7.87,"1,663,582.47","1,307,733.24",102.07,102.07
78,FIR,1.0,25.75,52.0,24.5,56.0,38.33,7.27,"253,462.15","76,578.99",101.94,101.94
79,SHS,1.0,20.29,40.5,19.28,55.5,36.73,9.43,"7,251,468.69","3,740,493.57",99.65,99.65
80,ANV,1.0,22.14,43.75,19.61,44.8,30.58,5.51,"714,241.43","469,457.09",97.63,97.63
81,HDG,1.0,35.5,70.0,30.69,73.5,50.06,12.48,"1,547,926.29","969,928.00",97.21,97.21
82,SSI,1.0,21.34,42.0,21.31,55.9,39.75,8.83,"14,100,037.45","6,659,829.01",96.8,96.8
83,MSH,1.0,44.44,87.0,42.87,93.3,70.98,14.71,"103,780.48","85,596.63",95.75,95.75
84,TPB,1.0,20.63,40.15,20.0,43.0,31.35,6.85,"5,690,974.90","3,203,848.37",94.64,94.64
85,TAR,1.0,20.65,39.7,14.46,44.8,26.87,10.18,"885,404.64","822,811.37",92.26,92.26
86,KDH,1.0,27.68,52.8,27.68,56.8,43.03,7.69,"2,908,870.52","1,949,332.90",90.74,90.74
87,VGS,1.0,18.53,35.1,13.7,50.0,31.13,10.9,"592,257.42","400,589.81",89.42,89.42
88,PLP,1.0,9.41,17.8,7.74,18.6,12.11,3.13,"850,133.07","561,925.33",89.24,89.24
89,DDG,1.0,20.14,38.0,19.95,38.0,26.89,5.43,"201,359.44","193,994.99",88.7,88.7
90,VGC,1.0,34.39,64.8,28.0,64.8,40.59,10.4,"1,149,096.02","1,104,566.50",88.43,88.43
91,FMC,1.0,35.35,66.6,30.3,68.5,45.76,9.76,"301,914.34","224,693.26",88.4,88.4
92,PGB,1.0,16.0,30.1,14.7,37.7,25.4,6.37,"262,213.97","330,278.81",88.13,88.13
