,Symbol,Count Year,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Year 1,Year 2,Year 3,Year Full
0,CMS,3.0,3.2,17.9,3.1,37.5,12.7,9.3,"155,310.84","294,503.40",184.13,-25.21,77.51,77.51
1,FRT,3.0,19.63,97.8,13.87,107.0,56.36,26.82,"1,361,850.20","891,514.28",73.04,43.38,70.79,70.79
2,DGC,3.0,19.05,91.6,17.57,122.28,63.68,23.53,"2,196,912.15","1,596,547.83",69.51,22.26,68.78,68.78
3,HUT,3.0,4.6,20.2,4.2,51.3,17.97,8.4,"4,110,028.39","3,105,274.60",37.41,3.11,63.76,63.76
4,HAH,3.0,9.35,38.4,7.04,60.0,29.8,11.59,"1,820,195.59","1,093,064.37",74.01,12.47,60.17,60.17
5,SCG,2.74,18.48,65.7,18.48,97.0,68.14,11.38,"247,069.24","183,242.59",-0.9,-17.06,52.62,58.86
6,SSH,2.45,20.86,64.3,20.86,120.9,75.62,15.27,"232,153.49","154,869.03",-8.79,75.59,,58.34
7,VNA,3.0,5.1,19.7,3.7,53.0,27.57,12.02,"149,734.29","242,943.76",-29.89,-15.97,56.9,56.9
8,FTS,3.0,11.72,43.95,9.2,51.89,29.17,11.04,"1,152,122.30","831,212.63",148.68,8.98,55.38,55.38
9,HCD,3.0,2.07,7.39,1.68,12.21,6.57,2.43,"609,691.05","541,186.23",47.18,-16.67,52.93,52.93
10,GKM,3.0,9.69,33.9,7.26,44.23,26.62,10.86,"315,630.67","251,969.04",48.53,-5.69,51.83,51.83
11,BSI,2.97,14.37,46.5,9.7,48.25,26.26,9.92,"1,067,522.74","719,570.94",158.82,21.9,47.91,48.49
12,VOS,3.0,3.52,11.3,3.07,25.3,12.65,5.37,"2,040,882.64","1,640,900.81",9.71,-17.74,47.52,47.52
13,VND,2.97,7.54,21.8,5.38,34.78,19.14,6.68,"17,332,233.33","12,775,221.97",37.11,-9.3,42.48,42.99
14,ELC,3.0,6.96,19.6,4.25,21.25,11.56,4.07,"517,177.17","437,573.81",166.41,16.62,41.19,41.19
15,DCM,3.0,11.75,31.5,9.73,41.7,25.54,7.05,"4,708,794.26","2,629,465.41",33.87,8.48,38.93,38.93
16,VC3,3.0,10.25,26.0,9.34,42.86,25.3,8.56,"302,681.55","211,385.29",18.11,-17.63,36.4,36.4
17,DSC,3.0,7.67,19.2,5.44,39.65,15.83,5.83,"112,769.54","182,496.20",23.54,15.37,35.8,35.8
18,DGW,3.0,21.94,54.8,17.53,85.59,50.14,14.79,"1,035,371.70","834,608.37",40.7,-8.79,35.68,35.68
19,CEO,3.0,8.93,22.0,5.78,69.38,20.03,12.58,"7,277,815.31","4,845,767.33",48.9,-37.17,35.08,35.08
20,FPT,3.0,39.22,94.7,34.61,99.0,68.94,13.13,"1,886,421.90","1,188,608.74",39.33,21.76,34.16,34.16
21,DPM,3.0,13.82,32.75,11.05,58.05,32.38,10.23,"3,608,468.49","2,490,781.52",-5.04,0.27,33.33,33.33
22,NAG,3.0,3.65,8.6,3.37,19.64,10.37,3.82,"190,534.23","210,093.52",-38.95,-8.59,33.05,33.05
23,TVD,3.0,6.24,14.7,5.59,19.83,12.16,3.49,"309,071.91","324,700.23",76.26,11.42,33.04,33.04
24,SJS,3.0,29.2,68.0,27.9,96.5,59.79,14.69,"109,640.59","123,374.03",44.68,-10.29,32.55,32.55
25,CTS,3.0,12.3,28.4,7.54,35.7,19.13,6.55,"1,433,676.23","865,562.05",97.22,-4.25,32.15,32.15
26,HAG,3.0,6.07,13.8,4.26,15.65,8.58,2.73,"15,424,817.76","10,747,637.47",50.98,-0.72,31.49,31.49
27,EVF,2.96,7.63,16.9,5.7,18.0,10.18,2.98,"1,134,327.48","2,046,338.70",116.33,11.35,30.36,30.83
28,VGC,3.0,23.31,51.6,23.22,65.7,40.35,9.9,"1,111,012.55","839,951.89",45.59,5.81,30.33,30.33
29,VC7,3.0,6.03,13.3,3.86,28.71,12.38,5.81,"257,758.95","262,115.56",135.11,-20.42,30.16,30.16
30,BMP,3.0,48.43,106.3,41.04,109.0,57.16,16.56,"149,407.21","152,649.54",100.67,50.67,29.96,29.96
31,SSB,2.82,11.3,23.45,11.3,30.4,24.77,3.01,"1,587,522.13","761,238.76",-11.73,-5.72,27.54,29.53
32,BMS,3.0,5.21,11.3,3.69,26.53,10.93,5.19,"174,492.81","188,779.27",133.86,-23.21,29.47,29.47
33,NKG,3.0,10.76,23.35,7.4,44.97,21.9,8.16,"8,512,093.59","4,519,281.26",66.19,-12.48,29.47,29.47
34,PVC,3.0,6.67,14.4,4.64,25.71,11.79,3.64,"1,643,910.54","982,852.56",28.18,9.73,29.25,29.25
35,NBC,3.0,5.86,12.5,4.89,26.78,12.79,4.53,"351,806.47","324,158.56",55.96,-10.9,28.75,28.75
36,MAC,3.0,6.28,13.4,4.95,16.0,8.2,1.92,"138,013.54","282,047.12",67.58,21.73,28.72,28.72
37,GMD,3.0,32.98,70.3,25.55,73.0,48.16,9.75,"1,941,090.25","1,516,613.17",51.83,29.96,28.7,28.7
38,LCM,2.97,1.23,2.6,1.12,11.95,3.39,1.71,"299,271.53","306,191.70",13.04,-50.93,28.34,28.66
39,CIG,3.0,2.87,6.1,2.7,17.1,7.15,2.94,"203,103.74","288,239.88",73.3,-30.56,28.57,28.57
40,LPB,3.0,7.85,16.6,6.32,18.46,12.1,2.62,"8,837,575.70","5,996,588.95",45.87,11.15,28.34,28.34
41,MBS,3.0,10.98,23.2,7.7,30.55,17.58,5.17,"2,480,059.63","1,633,801.60",89.08,-4.07,28.31,28.31
42,VIG,3.0,3.6,7.6,3.2,18.9,7.78,3.29,"1,055,081.31","1,221,830.91",58.33,-32.13,28.28,28.28
43,VGS,3.0,10.55,21.6,5.74,39.66,18.41,7.61,"631,210.64","448,642.91",94.44,-18.0,26.97,26.97
44,CTF,3.0,16.09,32.15,15.28,34.33,22.65,6.13,"420,749.13","274,142.56",17.09,36.81,25.97,25.97
45,SHI,3.0,6.9,13.7,6.71,21.55,14.27,2.26,"680,670.49","668,042.04",-15.43,-6.01,25.71,25.71
46,VCI,3.0,21.18,42.0,16.66,58.25,34.88,9.68,"4,657,796.40","2,642,868.90",53.67,-4.74,25.64,25.64
47,TIG,3.0,5.96,11.8,4.26,22.61,10.84,3.78,"1,122,598.22","926,704.74",58.69,-19.13,25.57,25.57
48,VHC,3.0,33.42,65.4,27.79,92.93,53.93,14.77,"1,085,137.12","770,751.93",13.74,15.03,25.08,25.08
49,TNT,3.0,2.32,4.54,2.32,20.2,7.93,4.74,"425,641.39","427,678.00",35.52,-48.4,25.08,25.08
50,THT,3.0,6.78,13.1,5.81,17.97,11.08,2.57,"109,218.34","154,223.73",53.97,6.0,24.57,24.57
51,PVS,3.0,19.04,36.8,14.0,40.2,26.81,5.68,"8,746,105.82","4,707,119.03",60.23,18.7,24.57,24.57
52,VDS,3.0,8.77,16.9,6.35,27.9,14.46,5.56,"728,176.90","555,810.14",129.62,-13.84,24.42,24.42
53,TCI,3.0,7.03,13.5,4.56,29.7,11.48,4.83,"485,428.73","449,407.53",66.67,-18.85,24.33,24.33
54,BFC,3.0,13.59,26.1,11.38,38.93,21.04,5.6,"396,334.05","358,675.09",72.35,3.49,24.31,24.31
55,CST,2.73,9.73,17.6,7.42,23.42,15.5,3.22,"208,983.90","225,866.74",-16.13,3.48,21.82,24.22
56,TC6,3.0,4.62,8.8,3.6,19.03,8.64,3.09,"257,969.25","285,074.80",95.56,-7.93,23.92,23.92
57,CNG,3.0,14.67,27.8,13.49,34.8,22.53,5.09,"223,087.72","205,405.47",46.98,15.81,23.76,23.76
58,VPI,3.0,29.23,55.0,27.12,59.84,47.74,10.85,"964,811.08","432,700.65",5.4,2.94,23.46,23.46
59,LAS,3.0,7.84,14.4,5.5,25.54,13.07,4.24,"850,946.50","806,128.66",84.62,-7.25,22.45,22.45
60,PVT,3.0,14.33,26.1,14.19,30.1,21.14,3.23,"3,831,682.38","2,330,783.22",29.43,6.91,22.13,22.13
61,ADS,3.0,7.1,12.8,6.9,29.56,15.68,6.02,"492,060.75","329,813.20",49.59,-25.8,21.7,21.7
62,PC1,3.0,14.9,26.8,11.0,37.02,23.79,5.26,"1,942,462.88","1,285,870.75",27.88,-1.46,21.61,21.61
63,TEG,3.0,5.45,9.79,5.17,15.86,10.03,2.28,"251,980.91","221,459.01",-0.31,-11.74,21.57,21.57
64,SGT,3.0,6.61,11.85,6.61,26.1,15.26,4.13,"145,153.40","219,247.32",-11.9,-27.52,21.47,21.47
65,TVS,3.0,11.93,21.35,10.39,48.34,21.6,6.71,"103,744.19","133,929.05",23.55,-20.95,21.4,21.4
66,CTR,2.97,50.7,90.0,37.18,94.96,65.56,11.21,"487,631.37","392,377.15",62.38,14.8,21.08,21.31
67,VIX,3.0,9.57,16.95,4.6,21.84,11.81,4.23,"12,437,362.75","11,719,108.78",167.39,-3.5,20.98,20.98
68,VPH,3.0,4.65,8.2,3.53,17.97,7.29,3.12,"528,373.97","710,396.82",100.0,-28.24,20.81,20.81
69,ORS,2.98,9.96,17.45,7.22,34.1,17.22,6.62,"2,006,898.32","1,717,831.91",91.13,-12.23,20.56,20.71
70,NAB,3.0,8.82,15.5,5.77,15.9,10.51,2.39,"278,614.03","287,931.40",114.92,10.47,20.65,20.65
71,VFS,2.97,10.32,18.0,6.49,29.0,16.93,5.37,"183,775.77","279,056.43",-20.35,5.41,20.37,20.6
72,IPA,2.98,8.75,15.2,7.75,61.04,21.36,12.7,"368,831.12","385,561.10",12.59,-38.9,20.21,20.36
73,PET,3.0,15.03,26.15,11.23,57.07,25.28,8.25,"1,373,176.64","1,112,311.29",52.29,-7.36,20.27,20.27
74,DPG,3.0,22.18,38.4,15.67,91.47,40.79,16.98,"876,271.56","473,449.72",30.94,-25.75,20.08,20.08
75,APG,3.0,7.18,12.2,2.52,20.7,9.37,4.32,"1,957,562.22","1,451,021.08",109.26,-20.29,19.34,19.34
76,CSV,3.0,25.45,42.75,21.47,60.86,35.14,8.42,"514,497.20","386,950.47",49.05,12.83,18.87,18.87
77,CKG,3.0,12.05,20.2,10.48,37.45,21.57,5.56,"1,303,756.61","1,523,627.33",4.39,-14.51,18.78,18.78
78,PVD,3.0,16.17,26.9,12.5,30.26,20.53,4.33,"7,115,811.62","3,814,334.10",34.84,6.85,18.48,18.48
79,C4G,3.0,6.98,11.6,5.1,24.12,11.24,4.14,"2,419,295.85","1,743,379.92",12.65,-20.29,18.47,18.47
80,SHS,3.0,11.07,18.4,5.4,29.16,14.91,5.21,"13,266,443.35","9,684,446.37",102.2,-14.23,18.44,18.44
81,MSH,3.0,22.04,36.5,20.52,59.35,37.29,8.09,"123,007.88","105,195.38",19.45,-9.96,18.31,18.31
82,PGB,3.0,16.3,26.8,12.0,37.7,23.6,5.95,"165,977.27","489,000.02",69.62,-8.48,18.03,18.03
83,KDC,3.0,37.53,61.6,36.76,68.77,57.65,6.0,"1,351,897.06","623,299.18",0.96,9.57,17.96,17.96
84,SSI,3.0,20.65,33.85,13.37,48.59,27.35,8.36,"17,406,012.82","8,450,119.40",83.25,-10.71,17.9,17.9
85,TDM,3.0,24.61,40.0,21.4,40.55,32.49,5.03,"282,869.69","321,327.48",17.98,13.86,17.57,17.57
86,TDN,3.0,6.47,10.5,5.03,20.45,10.21,2.77,"149,027.62","195,327.49",54.39,-6.18,17.53,17.53
87,VPG,3.0,10.77,17.45,10.03,54.6,25.52,13.15,"1,213,339.52","1,016,222.70",41.34,-37.04,17.44,17.44
88,PVL,2.97,1.8,2.9,1.6,22.3,5.29,4.28,"918,265.51","1,077,551.01",3.57,-60.83,17.23,17.42
89,ACB,3.0,15.96,25.8,13.69,25.8,20.88,2.1,"6,251,389.45","4,564,399.98",27.9,7.6,17.37,17.37
90,IDI,3.0,7.17,11.6,4.83,28.86,12.46,5.22,"3,626,858.74","2,399,893.73",-8.3,-5.24,17.37,17.37
91,LMH,3.0,1.8,2.9,1.8,16.7,6.48,3.21,"916,158.53","1,023,238.75",-52.46,-44.46,17.23,17.23
92,KOS,3.0,24.5,39.1,24.0,39.7,34.03,4.6,"351,298.00","118,346.52",8.91,10.71,16.86,16.86
93,TCL,3.0,24.16,38.25,20.27,40.14,33.79,4.71,"123,065.42","149,439.99",18.06,2.19,16.55,16.55
94,IDC,3.0,32.32,51.0,22.55,73.27,41.02,10.84,"3,381,763.42","1,924,078.39",54.83,1.33,16.42,16.42
95,HQC,3.0,2.67,4.16,1.61,10.5,4.41,1.65,"13,299,418.29","9,561,329.64",56.39,-30.65,15.93,15.93
96,VIP,3.0,7.32,11.4,4.69,12.6,8.68,2.09,"614,001.87","621,663.28",54.53,8.84,15.93,15.93
97,KHP,3.0,5.89,9.18,5.34,21.93,9.11,3.13,"245,972.63","436,050.11",28.68,-25.07,15.92,15.92
98,PVI,3.0,29.71,46.1,24.29,54.45,40.75,6.67,"119,687.37","216,902.50",1.25,5.3,15.77,15.77
99,HDC,3.0,19.81,30.7,17.71,73.6,36.21,13.46,"1,600,222.83","1,595,284.70",26.23,-28.94,15.71,15.71
100,HBS,3.0,5.1,7.9,4.4,18.0,8.46,2.98,"125,930.15","174,236.68",58.0,-24.88,15.71,15.71
101,BSR,3.0,11.9,18.4,8.47,31.12,18.96,4.07,"10,782,644.26","6,341,737.77",27.38,-9.11,15.64,15.64
102,MBB,3.0,13.82,21.35,11.52,24.31,18.13,2.66,"12,707,739.25","7,526,233.47",37.92,0.85,15.6,15.6
103,TNG,3.0,12.85,19.7,8.46,33.04,19.59,4.58,"2,454,625.62","1,290,781.62",49.82,-11.54,15.31,15.31
104,TGG,2.96,1.51,2.3,1.51,74.8,9.78,11.39,"686,330.41","816,065.75",-38.67,-62.89,15.06,15.28
105,OCB,2.96,9.79,14.9,8.2,20.33,13.51,2.66,"2,558,668.06","2,329,898.78",26.26,-7.99,15.04,15.26
106,VPB,3.0,12.99,19.65,10.47,25.67,19.76,2.98,"15,052,510.68","9,906,816.84",6.26,-6.34,14.78,14.78
107,PXT,2.96,2.33,3.5,2.03,12.0,4.42,1.82,"255,673.65","304,183.04",12.9,-33.01,14.53,14.74
108,STB,3.0,20.1,29.9,14.85,35.85,26.26,4.59,"21,438,888.38","12,156,749.51",18.18,-6.63,14.15,14.15
109,AGR,3.0,11.19,16.6,5.46,26.27,13.35,4.35,"1,707,559.95","1,383,239.99",113.97,-13.97,14.04,14.04
110,HCM,3.0,16.59,24.55,10.28,32.48,19.89,4.88,"5,597,086.52","2,560,675.77",60.93,-6.21,13.96,13.96
111,HDB,3.0,14.15,20.9,11.46,22.11,16.57,2.05,"4,046,152.07","2,723,542.09",52.15,1.4,13.88,13.88
112,NTL,3.0,19.84,29.2,13.22,38.39,24.0,5.71,"945,547.13","762,731.93",89.82,-4.0,13.75,13.75
113,VNH,3.0,1.7,2.5,1.6,10.5,4.02,2.13,"176,861.96","255,923.25",4.17,-38.92,13.72,13.72
114,PNJ,3.0,58.0,85.0,54.89,93.97,74.92,7.63,"653,170.63","487,695.15",0.37,12.18,13.59,13.59
115,EVS,3.0,5.69,8.3,5.25,27.06,13.83,6.82,"265,786.09","249,315.98",20.73,-42.02,13.42,13.42
116,TTH,3.0,2.4,3.5,1.6,9.2,3.87,1.7,"793,923.58","827,570.01",66.67,-31.69,13.4,13.4
117,AAS,3.0,5.78,8.4,3.46,20.41,9.46,3.93,"1,032,256.61","1,208,112.49",38.45,-27.0,13.25,13.25
118,VIB,3.0,14.51,21.05,12.8,30.51,20.44,3.88,"2,843,764.89","2,430,370.65",22.51,-11.53,13.2,13.2
119,PTC,3.0,4.08,5.9,3.84,46.12,9.69,7.65,"153,749.93","253,168.11",12.17,-49.11,13.05,13.05
120,QTP,3.0,10.01,14.4,8.05,15.91,12.46,1.76,"875,629.68","969,283.32",25.32,1.23,12.89,12.89
121,VHG,3.0,1.9,2.7,1.2,14.1,3.91,2.29,"3,257,984.64","3,059,092.75",17.39,-49.53,12.43,12.43
122,PTB,3.0,40.16,57.0,32.84,83.98,55.36,11.21,"285,287.45","281,994.93",35.93,-6.48,12.39,12.39
123,REE,3.0,39.05,55.1,35.59,84.83,56.39,10.36,"725,406.68","489,465.43",-10.44,6.37,12.16,12.16
124,FMC,3.0,31.79,44.85,26.22,68.43,43.0,9.25,"165,556.07","179,861.32",29.3,-3.15,12.15,12.15
125,SGP,3.0,11.77,16.6,8.06,40.26,21.11,8.46,"223,415.91","271,153.07",36.82,-25.97,12.13,12.13
126,FUEVFVND,3.0,19.04,26.68,16.74,32.25,24.9,2.76,"1,725,852.60","1,945,558.34",15.6,-1.91,11.9,11.9
127,TPB,3.0,13.26,18.55,11.2,27.84,18.01,3.71,"5,144,011.62","3,785,032.49",27.91,-17.55,11.84,11.84
128,DPR,3.0,21.82,30.3,18.78,45.86,29.28,5.09,"198,297.06","206,070.44",15.17,-2.07,11.57,11.57
129,BWE,3.0,29.88,41.3,24.63,59.76,42.16,6.74,"280,741.39","259,375.87",-9.18,-3.3,11.39,11.39
130,QNS,3.0,32.04,44.0,27.41,51.68,39.97,5.13,"558,990.24","534,582.74",39.7,5.89,11.15,11.15
131,HHS,3.0,5.31,7.25,2.51,11.62,5.93,1.9,"3,160,559.01","2,489,939.65",113.36,-13.23,10.93,10.93
132,ANV,3.0,22.52,30.6,15.55,59.46,31.62,8.12,"1,265,086.25","883,164.57",8.5,3.84,10.75,10.75
133,SZC,3.0,25.91,35.1,14.98,56.03,30.45,8.96,"1,123,467.56","615,238.64",78.15,-11.5,10.65,10.65
134,BID,3.0,34.31,46.0,25.29,47.4,34.67,4.93,"1,956,284.51","1,387,799.77",24.01,8.54,10.27,10.27
135,GSP,3.0,8.9,11.9,6.63,17.28,11.06,2.03,"201,881.04","259,327.90",36.3,-7.09,10.16,10.16
136,TLG,3.0,36.3,48.4,30.05,65.3,44.69,8.41,"117,166.22","176,166.31",-11.28,13.06,10.07,10.07
137,MIG,2.98,13.63,18.1,10.92,26.51,17.36,3.43,"782,096.64","772,777.91",23.23,5.45,9.93,10.0
138,HAX,3.0,10.64,14.15,9.12,26.15,15.25,3.09,"744,728.04","558,641.80",2.03,-12.47,9.96,9.96
139,NT2,3.0,19.56,25.85,14.99,31.89,22.46,4.24,"951,155.27","831,173.87",-1.41,11.38,9.73,9.73
140,HTP,3.0,10.0,13.2,10.0,54.0,32.78,9.89,"155,956.25","297,658.04",-66.92,-50.56,9.7,9.7
141,HMC,3.0,9.12,12.0,8.37,22.32,13.64,3.61,"108,343.12","126,674.03",16.5,-13.9,9.6,9.6
142,KVC,2.97,1.6,2.1,1.1,9.0,3.53,1.9,"951,880.68","971,465.64",16.67,-49.7,9.49,9.59
143,VCB,3.0,68.11,88.7,52.49,93.4,71.86,9.25,"1,246,969.43","649,321.37",22.1,13.1,9.2,9.2
144,SDA,3.0,5.0,6.5,3.3,75.4,12.73,12.36,"152,779.84","164,339.06",-2.99,-43.83,9.14,9.14
145,TV2,3.0,28.49,37.0,17.85,46.09,30.75,6.64,"227,654.47","202,021.62",67.14,-6.22,9.1,9.1
146,HSL,3.0,6.21,8.04,3.21,11.5,6.75,1.65,"230,834.85","314,503.24",67.5,-11.73,9.0,9.0
147,FUESSVFL,3.0,15.23,19.72,11.19,23.9,18.18,2.81,"196,116.29","342,781.75",28.72,-6.38,8.99,8.99
148,EIB,3.0,15.25,19.75,11.9,29.66,19.31,3.39,"2,953,044.59","4,458,013.71",8.61,-9.57,8.99,8.99
149,FID,3.0,1.7,2.2,1.2,10.2,3.73,2.08,"410,420.87","425,284.17",22.22,-47.88,8.97,8.97
150,DRC,3.0,20.7,26.75,15.43,32.51,24.11,3.46,"1,031,786.78","1,053,297.74",34.97,0.01,8.92,8.92
151,SPI,3.0,2.4,3.1,1.8,21.3,7.32,5.11,"147,408.45","173,916.78",29.17,-44.32,8.91,8.91
152,DTD,3.0,18.92,24.4,7.14,39.79,21.42,6.8,"402,173.52","371,853.18",112.14,-12.75,8.84,8.84
153,NLG,3.0,28.3,36.4,17.36,63.33,36.99,9.33,"2,979,551.67","2,022,102.08",39.53,-17.45,8.75,8.75
154,PVP,2.97,11.19,14.1,6.42,18.68,12.68,2.36,"418,409.10","423,788.84",22.14,-5.66,8.01,8.1
155,TDG,3.0,2.96,3.71,2.75,12.91,5.34,2.55,"444,108.41","467,544.01",9.7,-41.68,7.88,7.88
156,SBS,3.0,5.9,7.4,2.8,21.1,9.65,3.91,"2,966,093.09","2,195,112.90",42.31,-33.63,7.84,7.84
157,DXG,3.0,15.03,18.8,8.08,44.27,20.31,7.52,"12,721,835.91","7,486,568.11",53.91,-24.25,7.76,7.76
158,LTG,3.0,20.65,25.8,14.15,34.4,26.03,3.76,"481,513.49","417,002.69",30.12,0.47,7.71,7.71
159,GEX,3.0,17.05,21.3,11.0,48.22,21.78,7.95,"12,971,586.92","8,098,445.81",55.47,-28.55,7.7,7.7
160,DLG,3.0,1.95,2.43,1.45,10.5,3.74,1.98,"5,565,925.50","5,655,901.69",13.02,-46.63,7.61,7.61
161,WSS,3.0,5.0,6.2,3.6,18.3,8.33,3.15,"117,466.20","152,914.65",19.23,-36.55,7.43,7.43
162,NVB,3.0,9.6,11.9,9.6,39.7,19.84,7.9,"1,357,998.82","2,563,091.61",-39.29,-38.71,7.42,7.42
163,VTO,3.0,7.69,9.52,5.38,13.43,8.7,1.63,"485,325.50","519,641.97",32.89,-3.93,7.39,7.39
164,KBC,3.0,25.02,30.9,13.95,46.59,30.48,6.21,"7,828,777.70","4,433,076.35",23.6,-14.99,7.29,7.29
165,DIG,3.0,21.37,26.35,10.1,98.2,31.19,18.3,"12,499,270.49","9,499,211.66",72.79,-44.32,7.24,7.24
166,PSI,3.0,7.3,9.0,3.8,22.5,9.69,3.75,"213,030.05","259,611.89",57.89,-27.45,7.23,7.23
167,EVE,3.0,12.34,14.95,10.12,19.32,14.28,1.95,"197,236.32","269,036.47",14.48,-3.77,6.61,6.61
168,TLH,3.0,6.65,8.04,3.83,20.61,10.59,4.44,"1,386,235.25","1,272,099.90",31.67,-30.86,6.54,6.54
169,MPC,3.0,13.83,16.7,11.7,23.74,17.99,1.81,"163,440.19","164,667.89",-4.56,-6.27,6.48,6.48
170,KDH,3.0,24.79,29.9,17.27,46.94,31.03,6.32,"2,089,929.91","1,512,987.21",25.54,-17.77,6.44,6.44
171,LSS,3.0,9.21,11.1,4.46,17.75,10.9,2.63,"798,896.13","710,933.92",76.75,-8.92,6.41,6.41
172,BCM,3.0,50.0,59.9,38.08,95.91,66.89,13.44,"240,795.99","252,529.36",-25.86,-11.36,6.21,6.21
173,NHA,2.98,13.94,16.6,7.69,75.13,24.75,14.17,"262,064.25","178,143.89",38.91,-41.72,6.0,6.04
174,SHB,2.98,10.35,12.3,6.53,19.37,12.25,3.2,"18,206,133.97","11,913,453.56",35.66,-12.89,5.93,5.97
175,CTG,3.0,26.5,31.5,17.72,36.82,26.84,3.22,"7,891,757.54","5,888,668.19",20.96,0.07,5.93,5.93
176,MSB,3.0,11.78,13.95,9.59,22.31,14.75,2.88,"5,395,885.18","4,797,469.67",5.68,-19.52,5.81,5.81
177,HSG,3.0,18.43,21.7,7.14,40.33,21.67,7.74,"11,722,292.26","5,421,351.97",70.61,-13.8,5.6,5.6
178,HOM,3.0,4.2,4.9,3.4,11.1,6.37,1.89,"204,245.87","298,296.84",-2.0,-26.21,5.27,5.27
179,DDV,3.0,8.15,9.5,5.62,34.96,14.34,6.43,"1,353,559.49","1,344,503.77",11.5,-30.32,5.23,5.23
180,MHC,3.0,7.89,9.17,3.65,16.18,8.2,3.17,"768,988.12","1,028,361.72",141.32,-14.2,5.13,5.13
181,BVS,3.0,22.16,25.6,11.16,41.09,23.87,6.35,"500,171.27","463,663.03",32.34,-15.49,4.93,4.93
182,SKG,3.0,12.33,14.2,9.3,24.35,15.47,3.21,"539,340.59","505,668.60",-2.14,-5.28,4.82,4.82
183,RDP,3.0,7.67,8.75,5.81,19.15,9.48,2.46,"194,856.21","525,890.53",33.79,-14.61,4.48,4.48
184,PLC,3.0,27.1,30.8,13.13,46.22,30.48,7.02,"480,036.04","384,008.07",15.79,-12.92,4.36,4.36
185,TNH,3.0,17.18,19.35,12.16,35.78,21.79,5.29,"376,618.96","407,675.05",-14.57,-18.55,4.04,4.04
186,LCG,3.0,10.54,11.85,4.33,21.84,11.87,3.32,"5,980,491.32","3,660,128.34",41.85,-23.59,3.99,3.99
187,VC2,3.0,8.99,10.1,7.3,59.32,21.32,14.65,"248,881.21","315,278.10",26.25,-51.03,3.97,3.97
188,HDG,3.0,22.37,25.0,18.6,49.0,30.79,7.15,"1,611,411.35","969,419.07",-2.04,-21.36,3.78,3.78
189,KMR,3.0,3.17,3.51,2.25,11.7,5.16,2.38,"330,386.78","459,480.38",23.59,-39.34,3.45,3.45
190,VOC,3.0,18.88,20.8,11.73,30.92,20.64,4.02,"177,573.86","217,421.27",4.93,-5.83,3.29,3.29
191,AMS,3.0,9.1,10.0,5.3,19.8,10.88,2.9,"153,506.44","213,021.73",63.93,-14.87,3.19,3.19
192,HPG,3.0,24.73,27.15,12.1,43.9,28.03,7.24,"24,986,483.58","11,707,239.23",36.09,-12.36,3.16,3.16
193,CTD,3.0,62.08,67.6,18.91,85.22,48.93,13.29,"750,579.71","582,223.28",158.57,-8.19,2.88,2.88
194,CDC,3.0,18.6,20.2,12.7,20.4,17.33,1.86,"205,121.50","231,440.73",9.19,9.01,2.79,2.79
195,DST,3.0,3.5,3.8,2.7,16.4,6.1,3.04,"777,438.34","979,091.21",-7.32,-44.86,2.78,2.78
196,BTS,3.0,5.09,5.5,3.54,15.54,7.26,2.41,"119,369.72","175,503.99",-20.9,-25.82,2.63,2.63
197,BCC,3.0,9.01,9.7,4.9,26.22,13.28,4.75,"943,376.19","748,995.48",-6.44,-31.91,2.51,2.51
