,Symbol,Count Year,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year Full
0,BNA,1.31,13.28,42.5,11.25,48.0,28.07,10.86,"199,733.58","139,467.31",220.13,,,,,,143.08
1,CKG,1.87,6.21,29.15,5.38,41.2,15.81,9.14,"1,681,861.01","1,739,067.96",91.57,116.62,,,,,128.58
2,SZC,3.05,10.05,77.2,9.41,78.0,28.49,15.43,"822,370.63","719,073.55",100.67,127.44,97.33,,,,95.14
3,MSB,1.1,13.08,27.15,12.46,29.0,20.76,4.25,"7,772,726.59","4,813,172.71",107.62,,,,,,94.28
4,VPG,4.03,4.46,57.9,4.46,59.6,15.27,13.82,"345,064.21","406,089.17",339.77,143.19,89.19,89.81,,,88.9
5,OCB,1.0,14.68,27.65,14.68,30.5,23.13,3.53,"4,408,611.16","2,712,085.87",88.35,,,,,,88.35
6,ABB,1.09,12.18,23.0,9.81,24.2,17.83,3.61,"2,845,777.31","2,066,091.16",88.91,,,,,,79.25
7,PGB,1.1,16.0,30.1,12.0,37.7,22.2,6.67,"282,191.29","389,408.24",88.13,,,,,,77.62
8,FIR,3.29,6.92,45.7,6.92,45.7,25.49,7.16,"113,584.88","90,059.66",78.52,46.15,87.59,,,,77.47
9,FUEVFVND,1.74,10.5,27.9,10.5,28.8,20.02,6.0,"931,710.99","1,268,025.63",38.67,63.01,,,,,75.35
10,HTN,3.22,7.94,44.4,6.12,51.9,14.82,10.43,"145,482.27","149,504.54",140.0,144.42,77.53,,,,70.7
11,IDJ,6.01,1.14,24.1,0.73,47.99,5.06,7.7,"278,733.43","484,933.63",170.79,151.47,152.5,112.63,94.72,66.41,66.27
12,DPG,5.04,4.59,58.0,4.59,96.0,24.37,16.18,"312,057.32","416,594.13",217.03,82.57,40.87,39.65,66.09,,65.42
13,PDR,6.0,4.94,90.8,4.6,99.0,25.65,26.42,"1,479,954.42","1,316,735.97",99.93,126.9,88.86,51.56,75.89,62.46,62.46
14,TNH,1.07,24.0,39.6,19.68,53.84,30.44,9.91,"611,951.69","558,420.66",65.0,,,,,,59.68
15,DDG,3.12,7.84,33.6,7.84,34.2,17.46,5.77,"124,783.57","128,811.18",77.8,56.17,62.46,,,,59.46
16,VCR,5.99,2.8,45.0,2.2,54.6,11.64,10.94,"123,598.06","188,062.78",135.6,132.85,110.86,95.19,73.05,58.86,58.98
17,DIG,6.0,4.83,73.6,4.14,119.8,15.16,15.79,"2,381,911.19","4,379,548.02",252.79,185.75,89.97,49.7,72.36,57.43,57.43
18,VND,5.96,4.62,69.0,4.53,85.2,14.98,16.46,"1,972,888.33","2,846,766.62",299.49,187.89,94.82,52.19,67.52,56.96,57.43
19,CTR,4.26,13.1,84.5,9.82,90.8,34.82,25.94,"343,680.54","360,942.62",47.94,72.96,100.68,59.37,,,54.9
20,SHS,6.01,2.97,39.9,1.87,55.5,10.7,11.35,"2,405,803.47","3,082,397.37",172.86,204.26,88.87,38.43,79.07,54.15,54.04
21,GKM,4.56,7.4,52.0,6.88,52.4,12.85,7.84,"187,069.00","183,502.78",342.93,108.49,68.28,56.65,47.69,,53.35
22,HDC,6.0,6.22,79.0,5.18,115.0,19.14,22.98,"466,119.07","467,946.23",177.78,134.79,110.26,76.27,71.13,52.74,52.74
23,PHR,6.0,6.59,78.4,6.38,82.0,32.93,19.16,"593,103.72","497,525.05",43.19,50.3,38.32,38.36,44.21,51.1,51.1
24,ORS,5.97,2.0,23.3,1.27,34.1,6.05,7.63,"322,752.35","1,058,083.56",158.23,139.06,124.04,93.24,57.48,50.5,50.81
25,VIB,5.04,6.12,47.55,5.03,52.86,16.12,12.66,"728,853.33","954,847.72",99.01,113.65,76.75,53.03,50.69,,50.2
26,VIX,5.98,2.29,25.8,2.14,36.6,6.97,7.32,"1,399,774.05","2,496,316.17",75.93,174.94,79.89,59.3,59.85,49.73,49.93
27,APS,6.01,2.42,27.0,1.58,59.9,5.62,8.57,"473,962.69","994,114.88",383.35,301.37,113.03,76.33,66.02,49.47,49.37
28,DGW,6.0,10.33,105.0,5.01,140.0,24.44,30.49,"392,545.60","280,115.54",205.28,194.76,111.58,76.75,73.13,47.18,47.18
29,SMC,6.0,3.58,33.7,3.38,55.04,16.14,11.61,"189,041.20","328,387.46",70.33,81.7,44.11,20.55,21.45,45.32,45.32
