,Symbol,Count Day,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Day 1,Day 2,Day 3,Day 4,Day 5,Day Full
0,RDP,5.0,11.55,14.7,11.55,14.7,13.11,1.22,"425,040.00","360,080.36",0.0,3.4,3.65,4.45,4.94,4.94
1,SDA,5.0,28.4,36.0,28.4,36.0,32.36,3.02,"685,223.80","55,728.58",0.0,1.86,4.44,3.73,4.86,4.86
2,AAM,5.0,14.15,17.9,14.15,17.9,15.84,1.52,"144,940.00","25,150.21",0.0,3.38,4.47,5.05,4.81,4.81
3,KVC,5.0,7.2,9.0,7.2,9.0,7.98,0.81,"3,909,849.60","2,839,926.52",0.0,2.3,4.44,5.74,4.56,4.56
4,PSB,5.0,10.6,12.9,10.6,12.9,11.96,1.11,"142,134.40","92,616.31",0.0,0.39,0.79,4.3,4.01,4.01
5,ITQ,5.0,9.4,11.4,9.1,11.4,10.18,1.0,"2,254,280.40","1,445,371.22",0.0,1.8,4.46,5.8,3.93,3.93
6,PCT,5.0,11.2,13.4,11.2,14.8,13.04,1.36,"215,669.60","169,653.72",0.0,-4.85,-0.25,2.16,3.65,3.65
7,PGT,5.0,10.3,12.3,10.2,12.3,10.84,0.92,"110,341.80","135,812.64",0.0,4.8,6.44,4.79,3.61,3.61
8,DXV,5.0,7.65,8.9,7.65,9.36,8.57,0.66,"206,840.00","107,641.48",0.0,-2.49,0.57,2.13,3.07,3.07
9,TNT,5.0,16.9,19.45,16.9,19.5,18.64,1.14,"730,080.00","284,549.20",0.0,-0.13,0.26,1.89,2.85,2.85
10,PDV,5.0,12.0,13.8,12.0,14.3,13.36,0.97,"114,646.80","95,449.64",0.0,-1.76,-0.48,2.1,2.83,2.83
11,PIT,5.0,11.1,12.7,11.1,13.5,12.36,0.91,"200,720.00","193,347.50",0.0,-3.01,0.13,1.75,2.73,2.73
12,FCM,5.0,10.75,12.3,10.75,12.3,11.67,0.65,"2,571,760.00","493,242.13",0.0,0.0,2.27,1.7,2.73,2.73
13,KCB,5.0,10.5,12.0,10.5,13.2,12.06,1.07,"111,425.60","53,263.00",0.0,-3.55,-3.13,0.63,2.71,2.71
14,SCJ,5.0,12.2,13.9,11.7,13.9,12.42,0.89,"286,563.20","419,865.31",0.0,5.45,5.91,4.18,2.64,2.64
15,BCA,5.0,11.0,12.5,10.6,12.5,11.32,0.78,"319,035.00","115,094.45",0.0,3.36,4.99,4.21,2.59,2.59
16,TGG,5.0,24.9,28.3,24.9,30.4,27.73,2.08,"2,081,120.00","1,325,130.10",0.0,-3.52,-0.18,1.56,2.59,2.59
17,TDN,5.0,19.2,21.6,19.2,24.0,21.82,1.88,"1,139,026.00","657,800.97",0.0,-5.13,-2.35,0.59,2.38,2.38
18,SKG,5.0,20.1,22.6,20.1,22.6,21.02,1.06,"1,308,620.00","868,025.77",0.0,2.29,3.81,2.34,2.37,2.37
19,BFC,5.0,37.55,41.9,36.5,41.9,38.86,2.05,"1,318,860.00","436,965.19",0.0,3.25,2.38,3.51,2.22,2.22
20,CET,5.0,7.8,8.7,7.8,9.3,8.72,0.63,"103,004.40","64,495.52",0.0,-3.28,-2.2,0.58,2.21,2.21
21,DAG,5.0,13.05,14.45,12.7,14.45,13.31,0.72,"1,196,200.00","364,660.58",0.0,3.27,4.4,3.08,2.06,2.06
22,DAH,5.0,12.9,14.2,12.9,14.2,13.71,0.52,"3,041,280.00","948,641.67",0.0,0.35,1.57,0.72,1.94,1.94
23,PC1,5.0,40.35,44.3,40.35,46.5,43.74,2.44,"5,601,800.00","1,284,049.92",0.0,-2.39,-0.7,1.16,1.89,1.89
24,VTD,5.0,23.5,25.8,23.5,25.8,24.68,1.0,"427,355.60","102,928.92",0.0,0.39,2.44,1.3,1.89,1.89
25,ACC,5.0,23.6,25.9,23.3,26.1,24.76,1.28,"390,460.00","225,121.88",0.0,-0.38,1.32,2.68,1.88,1.88
26,VHE,5.0,9.3,10.2,9.1,10.2,9.4,0.46,"888,957.00","816,214.71",0.0,4.73,3.88,2.89,1.86,1.86
27,ONE,5.0,11.0,12.0,11.0,13.0,12.08,0.72,"375,826.00","107,258.57",0.0,-3.92,-0.82,-0.21,1.76,1.76
28,DPG,5.0,73.8,80.5,73.7,80.5,76.78,2.97,"1,459,280.00","424,173.20",0.0,1.92,0.89,2.23,1.75,1.75
29,BTS,5.0,13.4,14.6,13.0,14.6,13.56,0.61,"427,818.20","488,640.97",0.0,4.77,3.94,1.98,1.73,1.73
30,SJF,5.0,14.1,15.35,14.1,16.5,15.29,0.86,"5,481,900.00","1,404,157.10",0.0,-3.55,-0.22,0.49,1.71,1.71
31,KOS,5.0,34.2,37.2,34.2,37.2,35.31,1.36,"444,320.00","36,583.70",0.0,1.23,2.54,2.01,1.7,1.7
32,NRC,5.0,22.9,24.9,22.3,24.9,23.02,1.08,"581,621.40","323,468.28",0.0,4.73,3.74,2.8,1.69,1.69
33,HUT,5.0,34.0,36.9,34.0,36.9,35.6,1.04,"3,408,351.80","799,843.74",0.0,1.95,1.01,0.76,1.65,1.65
34,CDO,5.0,7.3,7.9,6.9,7.9,7.4,0.48,"1,820,134.40","962,984.68",0.0,0.0,4.61,3.07,1.59,1.59
35,DQC,5.0,59.2,64.0,56.3,64.0,59.96,2.76,"564,740.00","160,576.66",0.0,3.11,4.37,1.58,1.57,1.57
36,IDI,5.0,17.95,19.4,17.95,20.85,19.3,1.06,"5,597,880.00","2,125,258.60",0.0,-3.54,-0.17,0.79,1.57,1.57
37,CTR,5.0,86.0,92.8,85.4,92.8,88.54,3.48,"1,011,720.00","653,801.91",0.0,0.54,2.29,2.1,1.53,1.53
38,VNH,5.0,7.6,8.2,7.6,8.2,7.94,0.27,"460,294.00","158,069.05",0.0,0.62,2.12,0.31,1.53,1.53
39,DCM,5.0,43.1,46.5,42.2,46.5,44.24,1.66,"10,552,980.00","2,491,481.30",0.0,1.82,1.44,2.46,1.53,1.53
40,HNE,5.0,12.9,13.9,12.3,13.9,12.8,0.66,"132,722.20","173,890.52",0.0,6.31,3.33,3.1,1.5,1.5
41,PTV,5.0,17.1,18.4,17.1,22.3,19.84,2.24,"276,386.00","107,232.43",0.0,-8.34,-6.21,-1.44,1.48,1.48
42,ELC,5.0,24.3,26.1,24.3,26.1,24.99,0.79,"1,159,160.00","540,953.91",0.0,1.07,2.27,1.49,1.44,1.44
43,VE9,5.0,6.8,7.3,6.8,8.0,7.58,0.52,"403,505.60","319,815.27",0.0,-4.48,-3.01,-1.64,1.43,1.43
44,SHI,5.0,17.05,18.3,16.7,18.3,17.24,0.62,"1,929,600.00","1,397,280.52",0.0,3.3,2.49,2.31,1.43,1.43
45,CNT,5.0,20.5,22.0,20.0,22.9,21.64,1.33,"119,023.20","249,308.17",0.0,-1.77,-1.33,2.41,1.42,1.42
46,SD5,5.0,12.6,13.5,12.0,13.7,12.86,0.72,"432,829.40","447,194.83",0.0,-0.73,2.6,2.99,1.39,1.39
47,KDM,5.0,8.9,9.5,8.9,9.6,9.32,0.27,"243,394.00","179,382.69",0.0,1.07,0.71,-0.26,1.31,1.31
48,SD9,5.0,13.4,14.3,13.0,14.5,13.68,0.68,"696,495.60","217,910.10",0.0,-0.69,2.7,2.41,1.31,1.31
49,VNA,5.0,39.8,42.4,39.8,42.4,41.32,1.21,"598,390.40","251,942.56",0.0,0.84,0.0,1.28,1.27,1.27
50,HOM,5.0,9.3,9.9,8.9,9.9,9.26,0.39,"673,116.60","698,958.84",0.0,3.73,3.61,2.41,1.26,1.26
